name,url
DaddySkins Western League,https://www.hltv.org/stats/players/11893/zywoo?event=3356
Nations Elite Esports Cup European Qualifier,https://www.hltv.org/stats/players/11893/zywoo?event=3369
DreamHack Open Winter 2017 Europe Closed Qualifier,https://www.hltv.org/stats/players/11893/zywoo?event=3272
DreamHack Open Winter 2017 Europe Open Qualifier,https://www.hltv.org/stats/players/11893/zywoo?event=3271
ESWC 2017,https://www.hltv.org/stats/players/11893/zywoo?event=3232
ESWC 2017 Qualifier #2,https://www.hltv.org/stats/players/11893/zywoo?event=3306
X-BET.co Invitational,https://www.hltv.org/stats/players/11893/zywoo?event=3290
ESEA MDL Season 26 Europe,https://www.hltv.org/stats/players/11893/zywoo?event=3047
DreamHack Open Denver 2017 Europe Closed Qualifier,https://www.hltv.org/stats/players/11893/zywoo?event=3199
DreamHack Open Denver 2017 Europe Open Qualifier,https://www.hltv.org/stats/players/11893/zywoo?event=3197
iiyama CS:GO HomeMasters #3,https://www.hltv.org/stats/players/11893/zywoo?event=3073
CBE 2017 Europe Closed Qualifier,https://www.hltv.org/stats/players/11893/zywoo?event=3029
CBE 2017 Europe Open Qualifier #3,https://www.hltv.org/stats/players/11893/zywoo?event=3027
ROG MASTERS 2017 France Qualifier,https://www.hltv.org/stats/players/11893/zywoo?event=2999
DreamHack Masters Malmö 2017 Europe Open Qualifier,https://www.hltv.org/stats/players/11893/zywoo?event=2899
ESL National Championship France Summer 2017,https://www.hltv.org/stats/players/11893/zywoo?event=2940
DreamHack Open Valencia 2017 Europe Closed Qualifier,https://www.hltv.org/stats/players/11893/zywoo?event=2946
DreamHack Open Valencia 2017 Europe Open Qualifier,https://www.hltv.org/stats/players/11893/zywoo?event=2944
ESEA MDL Season 25 Europe,https://www.hltv.org/stats/players/11893/zywoo?event=2879
Europe Minor Qualifier 4 - PGL Major Krakow 2017,https://www.hltv.org/stats/players/11893/zywoo?event=2821
Europe Minor Qualifier 2 - PGL Major Krakow 2017,https://www.hltv.org/stats/players/11893/zywoo?event=2819
UnderDogs #5,https://www.hltv.org/stats/players/11893/zywoo?event=2840
ESEA Main Season 24 Europe,https://www.hltv.org/stats/players/11893/zywoo?event=2782
Epsilan 14,https://www.hltv.org/stats/players/11893/zywoo?event=2707
Pasino Gaming Days 2017 by LanEx,https://www.hltv.org/stats/players/11893/zywoo?event=2689
Dolphin CS Shoot 'Em Up 2,https://www.hltv.org/stats/players/11893/zywoo?event=2645
DreamHack Masters Las Vegas 2017 Europe Open Qualifier,https://www.hltv.org/stats/players/11893/zywoo?event=2619
ECS Season 2 EU Development League Open Qualifier #4,https://www.hltv.org/stats/players/11893/zywoo?event=2384
ECS Season 2 EU Development League Open Qualifier #3,https://www.hltv.org/stats/players/11893/zywoo?event=2383
Showmatch CS,https://www.hltv.org/stats/players/11893/zywoo?event=1040
