date,player_team,opponent,map,kd,plus_minus,rating,source_url
04/12/25,Vitality,3DMAX,nuke,12 - 7,+5,1.16,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8042
04/12/25,Vitality,FaZe,nuke,18 - 17,+1,1.11,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8042
15/11/25,Vitality,Falcons,nuke,18 - 12,+6,1.68,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7908
15/11/25,Vitality,Falcons,inf,19 - 16,+3,1.14,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7908
14/11/25,Vitality,Spirit,mrg,24 - 13,+11,1.62,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7908
14/11/25,Vitality,Spirit,nuke,33 - 25,+8,1.41,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7908
14/11/25,Vitality,Spirit,d2,13 - 15,-2,0.78,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7908
13/11/25,Vitality,FURIA,inf,7 - 13,-6,0.96,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7908
13/11/25,Vitality,FURIA,ovp,20 - 17,+3,1.03,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7908
13/11/25,Vitality,FURIA,nuke,20 - 16,+4,1.19,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7908
12/11/25,Vitality,TYLOO,inf,19 - 16,+3,1.38,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7908
12/11/25,Vitality,TYLOO,nuke,9 - 15,-6,0.86,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7908
12/11/25,Vitality,TYLOO,ovp,14 - 7,+7,1.69,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7908
09/11/25,Vitality,FURIA,ovp,16 - 17,-1,1.08,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8041
09/11/25,Vitality,FURIA,inf,21 - 16,+5,1.36,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8041
09/11/25,Vitality,FURIA,anc,15 - 16,-1,1.05,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8041
08/11/25,Vitality,MOUZ,inf,19 - 14,+5,1.48,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8041
08/11/25,Vitality,MOUZ,trn,14 - 16,-2,0.93,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8041
08/11/25,Vitality,MOUZ,nuke,30 - 16,+14,1.75,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8041
07/11/25,Vitality,Astralis,mrg,19 - 11,+8,1.64,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8041
07/11/25,Vitality,Astralis,nuke,19 - 19,0,0.94,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8041
07/11/25,Vitality,Astralis,inf,15 - 11,+4,1.33,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8041
