event_name,location,event_id,date,player_team,opponent,map,kd,plus_minus,rating
BLAST.tv Austin Major 2025,"Austin",7902,22/06/25,Vitality,The MongolZ,d2,18 - 8,+10,1.97
BLAST.tv Austin Major 2025,"Austin",7902,22/06/25,Vitality,The MongolZ,mrg,9 - 16,-7,0.69
BLAST.tv Austin Major 2025,"Austin",7902,21/06/25,Vitality,MOUZ,trn,21 - 10,+11,1.77
BLAST.tv Austin Major 2025,"Austin",7902,21/06/25,Vitality,MOUZ,inf,18 - 15,+3,1.51
BLAST.tv Austin Major 2025,"Austin",7902,21/06/25,Vitality,MOUZ,mrg,14 - 7,+7,1.15
BLAST.tv Austin Major 2025,"Austin",7902,20/06/25,Vitality,Natus Vincere,nuke,24 - 16,+8,1.49
BLAST.tv Austin Major 2025,"Austin",7902,20/06/25,Vitality,Natus Vincere,mrg,17 - 11,+6,1.40
BLAST.tv Austin Major 2025,"Austin",7902,14/06/25,Vitality,Virtus.pro,d2,22 - 6,+16,1.81
BLAST.tv Austin Major 2025,"Austin",7902,14/06/25,Vitality,Virtus.pro,trn,16 - 9,+7,1.51
BLAST.tv Austin Major 2025,"Austin",7902,13/06/25,Vitality,3DMAX,nuke,15 - 4,+11,1.98
BLAST.tv Austin Major 2025,"Austin",7902,13/06/25,Vitality,Nemiga,d2,22 - 11,+11,1.46
BLAST.tv Austin Major 2025,"Austin",7902,12/06/25,Vitality,Legacy,inf,11 - 10,+1,0.89
IEM Dallas 2025,"Dallas",8037,25/05/25,Vitality,MOUZ,inf,13 - 11,+2,1.30
IEM Dallas 2025,"Dallas",8037,25/05/25,Vitality,MOUZ,mrg,25 - 12,+13,1.80
IEM Dallas 2025,"Dallas",8037,25/05/25,Vitality,MOUZ,d2,21 - 12,+9,1.45
IEM Dallas 2025,"Dallas",8037,25/05/25,Vitality,Falcons,inf,22 - 17,+5,1.22
IEM Dallas 2025,"Dallas",8037,25/05/25,Vitality,Falcons,trn,12 - 16,-4,1.05
IEM Dallas 2025,"Dallas",8037,25/05/25,Vitality,Falcons,d2,16 - 12,+4,1.18
IEM Dallas 2025,"Dallas",8037,22/05/25,Vitality,The MongolZ,mrg,17 - 17,0,1.09
IEM Dallas 2025,"Dallas",8037,22/05/25,Vitality,The MongolZ,nuke,19 - 14,+5,1.65
IEM Dallas 2025,"Dallas",8037,22/05/25,Vitality,The MongolZ,inf,20 - 13,+7,1.24
IEM Dallas 2025,"Dallas",8037,20/05/25,Vitality,GamerLegion,nuke,17 - 12,+5,1.23
IEM Dallas 2025,"Dallas",8037,20/05/25,Vitality,GamerLegion,mrg,16 - 11,+5,1.12
IEM Dallas 2025,"Dallas",8037,19/05/25,Vitality,Legacy,d2,15 - 13,+2,1.11
