event_name,location,event_id,date,player_team,opponent,map,kd,plus_minus,rating,datetime_from,datetime_to
ESL Pro League Season 22,Stockholm,8040,11/10/25,Vitality,FaZe,inf,16 - 15,+1,1.33,2025-10-04T00:00:00,2025-10-13T00:00:00
ESL Pro League Season 22,Stockholm,8040,11/10/25,Vitality,FaZe,mrg,39 - 25,+14,1.51,2025-10-04T00:00:00,2025-10-13T00:00:00
ESL Pro League Season 22,Stockholm,8040,10/10/25,Vitality,FURIA,nuke,23 - 11,+12,1.68,2025-10-04T00:00:00,2025-10-13T00:00:00
ESL Pro League Season 22,Stockholm,8040,10/10/25,Vitality,FURIA,inf,18 - 13,+5,1.35,2025-10-04T00:00:00,2025-10-13T00:00:00
ESL Pro League Season 22,Stockholm,8040,10/10/25,Vitality,FURIA,ovp,19 - 19,0,1.10,2025-10-04T00:00:00,2025-10-13T00:00:00
ESL Pro League Season 22,Stockholm,8040,07/10/25,Vitality,G2,mrg,25 - 22,+3,1.14,2025-10-04T00:00:00,2025-10-13T00:00:00
ESL Pro League Season 22,Stockholm,8040,07/10/25,Vitality,G2,inf,12 - 4,+8,1.51,2025-10-04T00:00:00,2025-10-13T00:00:00
ESL Pro League Season 22,Stockholm,8040,06/10/25,Vitality,HOTU,d2,9 - 9,0,0.90,2025-10-04T00:00:00,2025-10-13T00:00:00
ESL Pro League Season 22,Stockholm,8040,06/10/25,Vitality,HOTU,ovp,20 - 10,+10,1.59,2025-10-04T00:00:00,2025-10-13T00:00:00
ESL Pro League Season 22,Stockholm,8040,05/10/25,Vitality,GamerLegion,d2,21 - 8,+13,2.47,2025-10-04T00:00:00,2025-10-13T00:00:00
ESL Pro League Season 22,Stockholm,8040,05/10/25,Vitality,GamerLegion,ovp,19 - 5,+14,1.77,2025-10-04T00:00:00,2025-10-13T00:00:00
ESL Pro League Season 22,Stockholm,8040,04/10/25,Vitality,Gentle Mates,trn,15 - 13,+2,0.98,2025-10-04T00:00:00,2025-10-13T00:00:00
ESL Pro League Season 22,Stockholm,8040,04/10/25,Vitality,Gentle Mates,nuke,14 - 14,0,0.91,2025-10-04T00:00:00,2025-10-13T00:00:00
