event_name,location_city,date,player_team,opponent,map,kd,plus_minus,rating,location_openaq,co,no,no2,nox,o3,pm10,pm25,so2
BLAST Premier Spring Final 2022,Lisbon,2022-06-16,Vitality,paiN,nuke,20 - 7,13,1.81,Restelo,,,11.8,,38.9,,,
BLAST Premier Spring Final 2022,Lisbon,2022-06-16,Vitality,paiN,ovp,15 - 8,7,1.5,Restelo,,,11.8,,38.9,,,
BLAST Premier Spring Final 2022,Lisbon,2022-06-17,Vitality,ENCE,nuke,33 - 20,13,1.48,Restelo,,,11.1,,43.4,,,
BLAST Premier Spring Final 2022,Lisbon,2022-06-17,Vitality,ENCE,ovp,21 - 13,8,1.31,Restelo,,,11.1,,43.4,,,
BLAST Premier Spring Final 2022,Lisbon,2022-06-18,Vitality,G2,d2,23 - 16,7,1.4,Restelo,,,5.91,,45.8,,,
BLAST Premier Spring Final 2022,Lisbon,2022-06-18,Vitality,G2,inf,13 - 17,-4,0.85,Restelo,,,5.91,,45.8,,,
BLAST Premier Spring Final 2022,Lisbon,2022-06-18,Vitality,G2,nuke,23 - 15,8,1.35,Restelo,,,5.91,,45.8,,,
BLAST Premier Spring Final 2022,Lisbon,2022-06-19,Vitality,Natus Vincere,mrg,20 - 16,4,1.22,Restelo,,,4.5,,52.0,,,
BLAST Premier Spring Final 2022,Lisbon,2022-06-19,Vitality,Natus Vincere,ovp,12 - 16,-4,0.87,Restelo,,,4.5,,52.0,,,
BLAST Premier Spring Final 2024,London,2024-06-12,Vitality,Virtus.pro,anb,14 - 16,-2,0.99,Camden - Bloomsbury,,,21.1,,45.5,8.86,5.29,6.9
BLAST Premier Spring Final 2024,London,2024-06-12,Vitality,Virtus.pro,d2,25 - 16,9,1.32,Camden - Bloomsbury,,,21.1,,45.5,8.86,5.29,6.9
BLAST Premier Spring Final 2024,London,2024-06-12,Vitality,Virtus.pro,inf,19 - 8,11,1.69,Camden - Bloomsbury,,,21.1,,45.5,8.86,5.29,6.9
BLAST Premier Spring Final 2024,London,2024-06-13,Vitality,G2,anb,21 - 14,7,1.39,Camden - Bloomsbury,,,14.6,,60.4,11.2,6.0,4.87
